,date,location,ratio
101114,2020/3/14,Alabama,0
101008,2020/3/15,Alabama,0
100902,2020/3/16,Alabama,0
100794,2020/3/17,Alabama,0
100686,2020/3/18,Alabama,0
100578,2020/3/19,Alabama,0
100470,2020/3/20,Alabama,0
100362,2020/3/21,Alabama,0
100254,2020/3/22,Alabama,0
100146,2020/3/23,Alabama,0
100038,2020/3/24,Alabama,0
99930,2020/3/25,Alabama,0.006944444
99822,2020/3/26,Alabama,0.013157895
99714,2020/3/27,Alabama,0.00990099
99604,2020/3/28,Alabama,0
99494,2020/3/29,Alabama,0.009090909
99384,2020/3/30,Alabama,0.051282051
99274,2020/3/31,Alabama,0.057692308
99164,2020/4/1,Alabama,0.128440367
99054,2020/4/2,Alabama,0.024691358
98944,2020/4/3,Alabama,0.022641509
98834,2020/4/4,Alabama,0.06185567
98724,2020/4/5,Alabama,0.004807692
98614,2020/4/6,Alabama,0.048484848
98504,2020/4/7,Alabama,0.057291667
98394,2020/4/8,Alabama,0.009966777
98284,2020/4/9,Alabama,0.032352941
98174,2020/4/10,Alabama,0.011764706
98064,2020/4/11,Alabama,0.051181102
97954,2020/4/12,Alabama,0
97844,2020/4/13,Alabama,0.04954955
97734,2020/4/14,Alabama,0.067567568
97624,2020/4/15,Alabama,0.03125
97514,2020/4/16,Alabama,0.085889571
97404,2020/4/17,Alabama,0.083333333
97294,2020/4/18,Alabama,-0.026490066
97184,2020/4/19,Alabama,0.072222222
97074,2020/4/20,Alabama,0.022857143
96964,2020/4/21,Alabama,0.088353414
96854,2020/4/22,Alabama,0.053003534
96744,2020/4/23,Alabama,-0.018018018
96634,2020/4/24,Alabama,0.06185567
96524,2020/4/25,Alabama,0.021390374
96414,2020/4/26,Alabama,0.028846154
96304,2020/4/27,Alabama,0.076271186
96194,2020/4/28,Alabama,0.066350711
96084,2020/4/29,Alabama,0.114285714
95974,2020/4/30,Alabama,0.06993007
95864,2020/5/1,Alabama,0.075221239
95754,2020/5/2,Alabama,-0.003154574
95644,2020/5/3,Alabama,0.007220217
95534,2020/5/4,Alabama,0.035714286
95424,2020/5/5,Alabama,0.052307692
95314,2020/5/6,Alabama,0.11023622
95204,2020/5/7,Alabama,0.073239437
95094,2020/5/8,Alabama,0.041297935
94984,2020/5/9,Alabama,0.024734982
94874,2020/5/10,Alabama,0.013574661
94764,2020/5/11,Alabama,0.036363636
94654,2020/5/12,Alabama,0.106666667
94544,2020/5/13,Alabama,0.063559322
94434,2020/5/14,Alabama,0.057356608
94324,2020/5/15,Alabama,0.036764706
94214,2020/5/16,Alabama,0.006644518
94104,2020/5/17,Alabama,0.030927835
93994,2020/5/18,Alabama,0.003174603
93884,2020/5/19,Alabama,0.051724138
93774,2020/5/20,Alabama,0.026627219
93664,2020/5/21,Alabama,0.019337017
93554,2020/5/22,Alabama,0.046875
93444,2020/5/23,Alabama,0.016701461
93334,2020/5/24,Alabama,0.006079027
93224,2020/5/25,Alabama,0.029527559
93114,2020/5/26,Alabama,0.021084337
93004,2020/5/27,Alabama,0.007853403
92894,2020/5/28,Alabama,0.016064257
92784,2020/5/29,Alabama,0.037924152
92674,2020/5/30,Alabama,0.024390244
92564,2020/5/31,Alabama,0.020236088
92454,2020/6/1,Alabama,0.027491409
92344,2020/6/2,Alabama,0.029535865
92234,2020/6/3,Alabama,0
92124,2020/6/4,Alabama,0
92014,2020/6/5,Alabama,0.073015873
91904,2020/6/6,Alabama,0.019817073
91794,2020/6/7,Alabama,0.006564551
91684,2020/6/8,Alabama,0.061176471
91574,2020/6/9,Alabama,0.022132797
91464,2020/6/10,Alabama,0.026455026
91354,2020/6/11,Alabama,0.012850467
91244,2020/6/12,Alabama,0.016184971
91134,2020/6/13,Alabama,0.004489338
