,date,location,ratio
101960,2020/3/2,Florida,0
101928,2020/3/3,Florida,0
101894,2020/3/4,Florida,0
101854,2020/3/5,Florida,0
101798,2020/3/6,Florida,0.666666667
101734,2020/3/7,Florida,0
101666,2020/3/8,Florida,0
101592,2020/3/9,Florida,0
101514,2020/3/10,Florida,0
101428,2020/3/11,Florida,0
101336,2020/3/12,Florida,0
101236,2020/3/13,Florida,0
101132,2020/3/14,Florida,0
101026,2020/3/15,Florida,0
100920,2020/3/16,Florida,0.03125
100812,2020/3/17,Florida,0.028985507
100704,2020/3/18,Florida,0.00862069
100596,2020/3/19,Florida,0.009259259
100488,2020/3/20,Florida,0.007692308
100380,2020/3/21,Florida,0.01
100272,2020/3/22,Florida,0.008474576
100164,2020/3/23,Florida,0.022522523
100056,2020/3/24,Florida,0.008163265
99948,2020/3/25,Florida,0.005952381
99840,2020/3/26,Florida,0.01183432
99732,2020/3/27,Florida,0.023611111
99622,2020/3/28,Florida,0.011904762
99512,2020/3/29,Florida,0.00441989
99402,2020/3/30,Florida,0.015957447
99292,2020/3/31,Florida,0.012416428
99182,2020/4/1,Florida,0.014605648
99072,2020/4/2,Florida,0.035743298
98962,2020/4/3,Florida,0.01984127
98852,2020/4/4,Florida,0.019577134
98742,2020/4/5,Florida,0.032298137
98632,2020/4/6,Florida,0.025801407
98522,2020/4/7,Florida,0.037567084
98412,2020/4/8,Florida,0.028391167
98302,2020/4/9,Florida,0.0425155
98192,2020/4/10,Florida,0.042068361
98082,2020/4/11,Florida,0.026522593
97972,2020/4/12,Florida,0.017103763
97862,2020/4/13,Florida,0.032871972
97752,2020/4/14,Florida,0.118226601
97642,2020/4/15,Florida,0.047461369
97532,2020/4/16,Florida,0.066997519
97422,2020/4/17,Florida,0.041047417
97312,2020/4/18,Florida,0.029769959
97202,2020/4/19,Florida,0.03163017
97092,2020/4/20,Florida,0.065860215
96982,2020/4/21,Florida,0.054254007
96872,2020/4/22,Florida,0.136363636
96762,2020/4/23,Florida,0.044809559
96652,2020/4/24,Florida,0.066666667
96542,2020/4/25,Florida,0.029411765
96432,2020/4/26,Florida,0.027576197
96322,2020/4/27,Florida,0.02295082
96212,2020/4/28,Florida,0.117231638
96102,2020/4/29,Florida,0.132564841
95992,2020/4/30,Florida,0.102409639
95882,2020/5/1,Florida,0.044358727
95772,2020/5/2,Florida,0.068027211
95662,2020/5/3,Florida,0.024390244
95552,2020/5/4,Florida,0.024420024
95442,2020/5/5,Florida,0.132841328
95332,2020/5/6,Florida,0.120781528
95222,2020/5/7,Florida,0.073849879
95112,2020/5/8,Florida,0.185983827
95002,2020/5/9,Florida,0.057356608
94892,2020/5/10,Florida,0.010084034
94782,2020/5/11,Florida,0.03626943
94672,2020/5/12,Florida,0.046758767
94562,2020/5/13,Florida,0.100208768
94452,2020/5/14,Florida,0.059405941
94342,2020/5/15,Florida,0.045258621
94232,2020/5/16,Florida,0.069836553
94122,2020/5/17,Florida,0.011583012
94012,2020/5/18,Florida,0.028103044
93902,2020/5/19,Florida,0.109561753
93792,2020/5/20,Florida,0.083491461
93682,2020/5/21,Florida,0.03986711
93572,2020/5/22,Florida,0.059278351
93462,2020/5/23,Florida,0.063609467
93352,2020/5/24,Florida,0.005405405
93242,2020/5/25,Florida,0.017064846
93132,2020/5/26,Florida,0.013752456
93022,2020/5/27,Florida,0.158311346
92912,2020/5/28,Florida,0.069124424
92802,2020/5/29,Florida,0.040429043
92692,2020/5/30,Florida,0.036677454
92582,2020/5/31,Florida,0.00541272
92472,2020/6/1,Florida,0.013493253
92362,2020/6/2,Florida,0.113452188
92252,2020/6/3,Florida,0.027334852
92142,2020/6/4,Florida,0.028893587
92032,2020/6/5,Florida,0.040613027
91922,2020/6/6,Florida,0.022047244
91812,2020/6/7,Florida,0.010169492
91702,2020/6/8,Florida,0.01242236
91592,2020/6/9,Florida,0.048357664
91482,2020/6/10,Florida,0.026258206
91372,2020/6/11,Florida,0.027679623
91262,2020/6/12,Florida,0.015247108
91152,2020/6/13,Florida,0.018597443
91042,2020/6/14,Florida,0.00297619
90932,2020/6/15,Florida,0.003981797
90822,2020/6/16,Florida,0.019762846
90712,2020/6/17,Florida,0.009578544
90602,2020/6/18,Florida,0.01340817
90492,2020/6/19,Florida,0.011250654
90382,2020/6/20,Florida,0.009878982
90272,2020/6/21,Florida,0.004865484
90162,2020/6/22,Florida,0.004101162
90052,2020/6/23,Florida,0.019780889
89942,2020/6/24,Florida,0.007802577
89832,2020/6/25,Florida,0.009192646
89722,2020/6/26,Florida,0.00436144
89612,2020/6/27,Florida,0.002503912
89502,2020/6/28,Florida,0.003399766
89392,2020/6/29,Florida,0.005317129
89282,2020/6/30,Florida,0.00951912
89172,2020/7/1,Florida,0.00685662
89062,2020/7/2,Florida,0.006627757
