,date,location,ratio
101930,2020/3/3,Georgia,0
101896,2020/3/4,Georgia,0
101856,2020/3/5,Georgia,0
101800,2020/3/6,Georgia,0
101736,2020/3/7,Georgia,0
101668,2020/3/8,Georgia,0
101594,2020/3/9,Georgia,0
101516,2020/3/10,Georgia,0
101430,2020/3/11,Georgia,0
101338,2020/3/12,Georgia,0
101238,2020/3/13,Georgia,0
101134,2020/3/14,Georgia,0
101028,2020/3/15,Georgia,0
100922,2020/3/16,Georgia,0
100814,2020/3/17,Georgia,0
100706,2020/3/18,Georgia,0.039215686
100598,2020/3/19,Georgia,0.078651685
100490,2020/3/20,Georgia,0.02
100382,2020/3/21,Georgia,0.085714286
100274,2020/3/22,Georgia,0.073529412
100166,2020/3/23,Georgia,0
100058,2020/3/24,Georgia,0.044067797
99950,2020/3/25,Georgia,0.031034483
99842,2020/3/26,Georgia,0.03515625
99734,2020/3/27,Georgia,0.014362657
99624,2020/3/28,Georgia,0.060240964
99514,2020/3/29,Georgia,0.016949153
99404,2020/3/30,Georgia,0.05730659
99294,2020/3/31,Georgia,0.021217712
99184,2020/4/1,Georgia,0.04437401
99074,2020/4/2,Georgia,0.031563845
98964,2020/4/3,Georgia,0.04206501
98854,2020/4/4,Georgia,0.024038462
98744,2020/4/5,Georgia,0.030640669
98634,2020/4/6,Georgia,0.091911765
98524,2020/4/7,Georgia,0.03379224
98414,2020/4/8,Georgia,0.020992366
98304,2020/4/9,Georgia,0.061674009
98194,2020/4/10,Georgia,0.013347023
98084,2020/4/11,Georgia,0.017412935
97974,2020/4/12,Georgia,-0.037974684
97864,2020/4/13,Georgia,0.040117417
97754,2020/4/14,Georgia,0.04822335
97644,2020/4/15,Georgia,0.07761194
97534,2020/4/16,Georgia,0.039585297
97424,2020/4/17,Georgia,0.049309665
97314,2020/4/18,Georgia,0.025280899
97204,2020/4/19,Georgia,0.019834711
97094,2020/4/20,Georgia,0.102657005
96984,2020/4/21,Georgia,0.057951482
96874,2020/4/22,Georgia,0.02967033
96764,2020/4/23,Georgia,0.042183623
96654,2020/4/24,Georgia,0.026865672
96544,2020/4/25,Georgia,0.012307692
96434,2020/4/26,Georgia,0.042735043
96324,2020/4/27,Georgia,0.096103896
96214,2020/4/28,Georgia,0.108465608
96104,2020/4/29,Georgia,0.092352092
95994,2020/4/30,Georgia,0.030946065
95884,2020/5/1,Georgia,0.031840796
95774,2020/5/2,Georgia,0.009615385
95664,2020/5/3,Georgia,0.02
95554,2020/5/4,Georgia,0.081967213
95444,2020/5/5,Georgia,0.093155894
95334,2020/5/6,Georgia,0.037735849
95224,2020/5/7,Georgia,0.02875
95114,2020/5/8,Georgia,0.081415929
95004,2020/5/9,Georgia,0.005102041
94894,2020/5/10,Georgia,0.003816794
94784,2020/5/11,Georgia,0.20441989
94674,2020/5/12,Georgia,0.057937428
94564,2020/5/13,Georgia,0.043243243
94454,2020/5/14,Georgia,0.048561151
94344,2020/5/15,Georgia,0.051219512
94234,2020/5/16,Georgia,0.024213075
94124,2020/5/17,Georgia,0.036789298
94014,2020/5/18,Georgia,0.058823529
93904,2020/5/19,Georgia,0.044827586
93794,2020/5/20,Georgia,0.023206751
93684,2020/5/21,Georgia,0.095415118
93574,2020/5/22,Georgia,0.039215686
93464,2020/5/23,Georgia,0.022255193
93354,2020/5/24,Georgia,0.008605852
93244,2020/5/25,Georgia,0.049411765
93134,2020/5/26,Georgia,0.07208589
93024,2020/5/27,Georgia,0.057187017
92914,2020/5/28,Georgia,0.058461538
92804,2020/5/29,Georgia,0.020952381
92694,2020/5/30,Georgia,0.044642857
92584,2020/5/31,Georgia,0.064335664
92474,2020/6/1,Georgia,0.053824363
92364,2020/6/2,Georgia,0.04248366
92254,2020/6/3,Georgia,0.033950617
92144,2020/6/4,Georgia,0.029375765
92034,2020/6/5,Georgia,0.035904255
91924,2020/6/6,Georgia,0.006033183
91814,2020/6/7,Georgia,0.002336449
91704,2020/6/8,Georgia,0.044871795
91594,2020/6/9,Georgia,0.095607235
91484,2020/6/10,Georgia,0.060344828
91374,2020/6/11,Georgia,0.051903114
91264,2020/6/12,Georgia,0.054085155
91154,2020/6/13,Georgia,0.027635619
91044,2020/6/14,Georgia,0.007183908
90934,2020/6/15,Georgia,0.064976228
90824,2020/6/16,Georgia,0.04391468
90714,2020/6/17,Georgia,0.048087432
90604,2020/6/18,Georgia,0.035236938
