,date,location,ratio
101530,2020/3/10,Louisiana,0
101444,2020/3/11,Louisiana,0
101352,2020/3/12,Louisiana,0
101254,2020/3/13,Louisiana,0
101150,2020/3/14,Louisiana,0.024390244
101046,2020/3/15,Louisiana,0.038461538
100940,2020/3/16,Louisiana,0.029411765
100832,2020/3/17,Louisiana,0.033898305
100724,2020/3/18,Louisiana,0.023809524
100616,2020/3/19,Louisiana,0.026785714
100508,2020/3/20,Louisiana,0
100400,2020/3/21,Louisiana,0.026548673
100292,2020/3/22,Louisiana,0.054054054
100184,2020/3/23,Louisiana,0.041791045
100076,2020/3/24,Louisiana,0.055555556
99968,2020/3/25,Louisiana,0.046683047
99860,2020/3/26,Louisiana,0.035294118
99752,2020/3/27,Louisiana,0.081632653
99642,2020/3/28,Louisiana,0.031634446
99532,2020/3/29,Louisiana,0.071428571
99422,2020/3/30,Louisiana,0.068041237
99312,2020/3/31,Louisiana,0.044517725
99202,2020/4/1,Louisiana,0.029486099
99092,2020/4/2,Louisiana,0.012829912
98982,2020/4/3,Louisiana,0.052310375
98872,2020/4/4,Louisiana,0.019082235
98762,2020/4/5,Louisiana,0.126459144
98652,2020/4/6,Louisiana,0.018888289
98542,2020/4/7,Louisiana,0.049400141
98432,2020/4/8,Louisiana,0.09383378
98322,2020/4/9,Louisiana,0.03990423
98212,2020/4/10,Louisiana,0.054639175
98102,2020/4/11,Louisiana,0.067017083
97992,2020/4/12,Louisiana,0.058519793
97882,2020/4/13,Louisiana,0.104513064
97772,2020/4/14,Louisiana,0.256972112
97662,2020/4/15,Louisiana,0.207852194
97552,2020/4/16,Louisiana,0.091222031
97442,2020/4/17,Louisiana,0.097269625
97332,2020/4/18,Louisiana,0.116883117
97222,2020/4/19,Louisiana,0.083333333
97112,2020/4/20,Louisiana,0.053781513
97002,2020/4/21,Louisiana,0.232628399
96892,2020/4/22,Louisiana,0.274298056
96782,2020/4/23,Louisiana,0.139293139
96672,2020/4/24,Louisiana,0.152119701
96562,2020/4/25,Louisiana,0.115591398
96452,2020/4/26,Louisiana,0.099616858
96342,2020/4/27,Louisiana,0.039426523
96232,2020/4/28,Louisiana,0.279816514
96122,2020/4/29,Louisiana,0.117647059
96012,2020/4/30,Louisiana,0.175953079
95902,2020/5/1,Louisiana,0.091549296
95792,2020/5/2,Louisiana,0.053613054
95682,2020/5/3,Louisiana,0.095
95572,2020/5/4,Louisiana,0.143250689
95462,2020/5/5,Louisiana,0.157894737
95352,2020/5/6,Louisiana,0.129032258
95242,2020/5/7,Louisiana,0.162055336
95132,2020/5/8,Louisiana,0.093596059
95022,2020/5/9,Louisiana,0.071174377
94912,2020/5/10,Louisiana,0.103825137
94802,2020/5/11,Louisiana,0.105769231
94692,2020/5/12,Louisiana,0.165957447
94582,2020/5/13,Louisiana,0.055555556
94472,2020/5/14,Louisiana,0.043530834
94362,2020/5/15,Louisiana,0.08908046
94252,2020/5/16,Louisiana,0.110714286
94142,2020/5/17,Louisiana,0.038095238
94032,2020/5/18,Louisiana,0.215568862
93922,2020/5/19,Louisiana,0.054711246
93812,2020/5/20,Louisiana,0.097122302
93702,2020/5/21,Louisiana,0.017676768
93592,2020/5/22,Louisiana,0.095011876
93482,2020/5/23,Louisiana,0.11965812
93372,2020/5/24,Louisiana,0.0546875
93262,2020/5/25,Louisiana,0
93152,2020/5/26,Louisiana,0.032738095
93042,2020/5/27,Louisiana,0.047511312
92932,2020/5/28,Louisiana,0.084507042
92822,2020/5/29,Louisiana,0
92712,2020/5/30,Louisiana,0.024516129
92602,2020/5/31,Louisiana,0.017699115
92492,2020/6/1,Louisiana,0.023201856
92382,2020/6/2,Louisiana,0.083950617
92272,2020/6/3,Louisiana,0.090439276
92162,2020/6/4,Louisiana,0.03030303
92052,2020/6/5,Louisiana,0.067915691
91942,2020/6/6,Louisiana,0.026156942
91832,2020/6/7,Louisiana,0.033333333
91722,2020/6/8,Louisiana,0.033898305
91612,2020/6/9,Louisiana,0.023131673
91502,2020/6/10,Louisiana,0.026315789
91392,2020/6/11,Louisiana,0.042986425
91282,2020/6/12,Louisiana,0.017208413
91172,2020/6/13,Louisiana,0.00621118
91062,2020/6/14,Louisiana,0.029761905
90952,2020/6/15,Louisiana,0.007246377
90842,2020/6/16,Louisiana,0.04494382
90732,2020/6/17,Louisiana,0.021551724
90622,2020/6/18,Louisiana,0.009210526
90512,2020/6/19,Louisiana,-0.017064846
90402,2020/6/20,Louisiana,0.022988506
90292,2020/6/21,Louisiana,0.002544529
90182,2020/6/22,Louisiana,0.025974026
90072,2020/6/23,Louisiana,0.012536873
89962,2020/6/24,Louisiana,0.020408163
89852,2020/6/25,Louisiana,0.012793177
89742,2020/6/26,Louisiana,0.019202363
89632,2020/6/27,Louisiana,0
89522,2020/6/28,Louisiana,0.006134969
89412,2020/6/29,Louisiana,0
89302,2020/6/30,Louisiana,0.021696252
89192,2020/7/1,Louisiana,0.008161306
89082,2020/7/2,Louisiana,0.012292119
88972,2020/7/3,Louisiana,0.013310185
88862,2020/7/4,Louisiana,0
88752,2020/7/5,Louisiana,0.005162623
88642,2020/7/6,Louisiana,0.007266122
88532,2020/7/7,Louisiana,0.011880165
88422,2020/7/8,Louisiana,0.01059322
88312,2020/7/9,Louisiana,0.008681498
88202,2020/7/10,Louisiana,0.009462528
88092,2020/7/11,Louisiana,0.010613752
87982,2020/7/12,Louisiana,0.009855951
87872,2020/7/13,Louisiana,0.004105572
87762,2020/7/14,Louisiana,0.00993228
87652,2020/7/15,Louisiana,0.007651841
87542,2020/7/16,Louisiana,0.010526316
87432,2020/7/17,Louisiana,0.011014227
87322,2020/7/18,Louisiana,0
87212,2020/7/19,Louisiana,0.010911425
87102,2020/7/20,Louisiana,0.009102323
86992,2020/7/21,Louisiana,0.021289178
86882,2020/7/22,Louisiana,0.022358457
86772,2020/7/23,Louisiana,0.006968641
86662,2020/7/24,Louisiana,0.013915547
86552,2020/7/25,Louisiana,0
86442,2020/7/26,Louisiana,0.0125
86332,2020/7/27,Louisiana,0.009816475
86222,2020/7/28,Louisiana,0.023193577
86112,2020/7/29,Louisiana,0.040875072
86002,2020/7/30,Louisiana,0.024590164
85892,2020/7/31,Louisiana,0.013340745
85782,2020/8/1,Louisiana,0
85672,2020/8/2,Louisiana,0.016729161
85562,2020/8/3,Louisiana,0.015468608
85452,2020/8/4,Louisiana,0.00746888
85342,2020/8/5,Louisiana,0.030282638
85232,2020/8/6,Louisiana,0.038372985
85122,2020/8/7,Louisiana,0.040666667
