,date,location,ratio
101364,2020/3/12,Mississippi,0
101266,2020/3/13,Mississippi,0
101162,2020/3/14,Mississippi,0
101058,2020/3/15,Mississippi,0
100952,2020/3/16,Mississippi,0
100844,2020/3/17,Mississippi,0
100736,2020/3/18,Mississippi,0
100628,2020/3/19,Mississippi,0.0625
100520,2020/3/20,Mississippi,0
100412,2020/3/21,Mississippi,0
100304,2020/3/22,Mississippi,0
100196,2020/3/23,Mississippi,0
100088,2020/3/24,Mississippi,0
99980,2020/3/25,Mississippi,0.071428571
99872,2020/3/26,Mississippi,0.009090909
99764,2020/3/27,Mississippi,0.021505376
99654,2020/3/28,Mississippi,0.055555556
99544,2020/3/29,Mississippi,0.011111111
99434,2020/3/30,Mississippi,0.02247191
99324,2020/3/31,Mississippi,0.04494382
99214,2020/4/1,Mississippi,0.014705882
99104,2020/4/2,Mississippi,0.038461538
98994,2020/4/3,Mississippi,0.016574586
98884,2020/4/4,Mississippi,0.06185567
98774,2020/4/5,Mississippi,0.043715847
98664,2020/4/6,Mississippi,0.08
98554,2020/4/7,Mississippi,0.04519774
98444,2020/4/8,Mississippi,0.090909091
98334,2020/4/9,Mississippi,0.035019455
98224,2020/4/10,Mississippi,0.028708134
98114,2020/4/11,Mississippi,0.063583815
98004,2020/4/12,Mississippi,0.021582734
97894,2020/4/13,Mississippi,0.01242236
97784,2020/4/14,Mississippi,0.089655172
97674,2020/4/15,Mississippi,0.04029304
97564,2020/4/16,Mississippi,0.026515152
97454,2020/4/17,Mississippi,0.065088757
97344,2020/4/18,Mississippi,0.066298343
97234,2020/4/19,Mississippi,0.023333333
97124,2020/4/20,Mississippi,0.042016807
97014,2020/4/21,Mississippi,0.068627451
96904,2020/4/22,Mississippi,0.056179775
96794,2020/4/23,Mississippi,0.030888031
96684,2020/4/24,Mississippi,0.028469751
96574,2020/4/25,Mississippi,0.042253521
96464,2020/4/26,Mississippi,0.031088083
96354,2020/4/27,Mississippi,0.010928962
96244,2020/4/28,Mississippi,0.040322581
96134,2020/4/29,Mississippi,0.04845815
96024,2020/4/30,Mississippi,0.044715447
95914,2020/5/1,Mississippi,0.050377834
95804,2020/5/2,Mississippi,0.043668122
95694,2020/5/3,Mississippi,0.110091743
95584,2020/5/4,Mississippi,0.021406728
95474,2020/5/5,Mississippi,0.096969697
95364,2020/5/6,Mississippi,0.147465438
95254,2020/5/7,Mississippi,0.083969466
95144,2020/5/8,Mississippi,0.032178218
95034,2020/5/9,Mississippi,0.041666667
94924,2020/5/10,Mississippi,0.073170732
94814,2020/5/11,Mississippi,0.028901734
94704,2020/5/12,Mississippi,0.094017094
94594,2020/5/13,Mississippi,0.043956044
94484,2020/5/14,Mississippi,0.038167939
94374,2020/5/15,Mississippi,0.040880503
94264,2020/5/16,Mississippi,0.052795031
94154,2020/5/17,Mississippi,0.063583815
94044,2020/5/18,Mississippi,0.051470588
93934,2020/5/19,Mississippi,0.095588235
93824,2020/5/20,Mississippi,0.060836502
93714,2020/5/21,Mississippi,0.039215686
93604,2020/5/22,Mississippi,0.039800995
93494,2020/5/23,Mississippi,0.052493438
93384,2020/5/24,Mississippi,0.036437247
