,date,location,ratio
101910,2020/3/4,North Carolina,0
101874,2020/3/5,North Carolina,0
101826,2020/3/6,North Carolina,0
101766,2020/3/7,North Carolina,0
101700,2020/3/8,North Carolina,0
101628,2020/3/9,North Carolina,0
101552,2020/3/10,North Carolina,0
101470,2020/3/11,North Carolina,0
101380,2020/3/12,North Carolina,0
101284,2020/3/13,North Carolina,0
101180,2020/3/14,North Carolina,0
101076,2020/3/15,North Carolina,0
100970,2020/3/16,North Carolina,0
100862,2020/3/17,North Carolina,0
100754,2020/3/18,North Carolina,0
100646,2020/3/19,North Carolina,0
100538,2020/3/20,North Carolina,0
100430,2020/3/21,North Carolina,0
100322,2020/3/22,North Carolina,0
100214,2020/3/23,North Carolina,0
100106,2020/3/24,North Carolina,0
99998,2020/3/25,North Carolina,0.006060606
99890,2020/3/26,North Carolina,0.012987013
99782,2020/3/27,North Carolina,0.006896552
99672,2020/3/28,North Carolina,0.005319149
99562,2020/3/29,North Carolina,0.010309278
99452,2020/3/30,North Carolina,0
99342,2020/3/31,North Carolina,0.017857143
99232,2020/4/1,North Carolina,0.015625
99122,2020/4/2,North Carolina,0.02247191
99012,2020/4/3,North Carolina,0.025531915
98902,2020/4/4,North Carolina,0.022653722
98792,2020/4/5,North Carolina,0.038251366
98682,2020/4/6,North Carolina,0.01754386
98572,2020/4/7,North Carolina,0.022857143
98462,2020/4/8,North Carolina,0.054187192
98352,2020/4/9,North Carolina,0.057017544
98242,2020/4/10,North Carolina,0.015686275
98132,2020/4/11,North Carolina,0.01980198
98022,2020/4/12,North Carolina,0
97912,2020/4/13,North Carolina,0.018656716
97802,2020/4/14,North Carolina,0.12254902
97692,2020/4/15,North Carolina,0.091603053
97582,2020/4/16,North Carolina,0.035294118
97472,2020/4/17,North Carolina,0.047979798
97362,2020/4/18,North Carolina,0.056939502
97252,2020/4/19,North Carolina,0.02266289
97142,2020/4/20,North Carolina,0.014760148
97032,2020/4/21,North Carolina,0.160427807
96922,2020/4/22,North Carolina,0.092936803
96812,2020/4/23,North Carolina,0.028350515
96702,2020/4/24,North Carolina,0.038288288
96592,2020/4/25,North Carolina,0.068548387
96482,2020/4/26,North Carolina,0.017730496
96372,2020/4/27,North Carolina,0.107317073
96262,2020/4/28,North Carolina,0.041275797
96152,2020/4/29,North Carolina,0.034300792
96042,2020/4/30,North Carolina,0.033928571
95932,2020/5/1,North Carolina,0.048192771
95822,2020/5/2,North Carolina,0.038851351
95712,2020/5/3,North Carolina,0.051948052
95602,2020/5/4,North Carolina,0.088669951
95492,2020/5/5,North Carolina,0.055825243
95382,2020/5/6,North Carolina,0.04
95272,2020/5/7,North Carolina,0.037037037
95162,2020/5/8,North Carolina,0.035714286
95052,2020/5/9,North Carolina,0.033464567
94942,2020/5/10,North Carolina,0.017676768
94832,2020/5/11,North Carolina,0.034965035
94722,2020/5/12,North Carolina,0.078078078
94612,2020/5/13,North Carolina,0.040178571
94502,2020/5/14,North Carolina,0.022880215
94392,2020/5/15,North Carolina,0.046901173
94282,2020/5/16,North Carolina,0.013431013
94172,2020/5/17,North Carolina,0.015151515
94062,2020/5/18,North Carolina,0.008561644
93952,2020/5/19,North Carolina,0.042121685
93842,2020/5/20,North Carolina,0.021786492
93732,2020/5/21,North Carolina,0.018232819
93622,2020/5/22,North Carolina,0.027510316
93512,2020/5/23,North Carolina,0.008411215
93402,2020/5/24,North Carolina,0.016
93292,2020/5/25,North Carolina,0.011749347
93182,2020/5/26,North Carolina,0.047120419
93072,2020/5/27,North Carolina,0.063439065
92962,2020/5/28,North Carolina,0.038600724
92852,2020/5/29,North Carolina,0.025915996
92742,2020/5/30,North Carolina,0.014619883
92632,2020/5/31,North Carolina,0.008648649
92522,2020/6/1,North Carolina,0.017595308
92412,2020/6/2,North Carolina,0.039473684
92302,2020/6/3,North Carolina,0.021852237
92192,2020/6/4,North Carolina,0.017418844
92082,2020/6/5,North Carolina,0.007011394
91972,2020/6/6,North Carolina,0.013649425
91862,2020/6/7,North Carolina,0.004683841
91752,2020/6/8,North Carolina,0.018518519
91642,2020/6/9,North Carolina,0.034482759
91532,2020/6/10,North Carolina,0.029605263
91422,2020/6/11,North Carolina,0.012587413
91312,2020/6/12,North Carolina,0.008083141
91202,2020/6/13,North Carolina,0.004847645
91092,2020/6/14,North Carolina,0.00310559
90982,2020/6/15,North Carolina,0.016068053
90872,2020/6/16,North Carolina,0.034198113
90762,2020/6/17,North Carolina,0.012536162
90652,2020/6/18,North Carolina,0.008566978
90542,2020/6/19,North Carolina,0.008816121
90432,2020/6/20,North Carolina,0.009840098
90322,2020/6/21,North Carolina,0.004942339
90212,2020/6/22,North Carolina,0.005070994
90102,2020/6/23,North Carolina,0.026369168
89992,2020/6/24,North Carolina,0.01322199
89882,2020/6/25,North Carolina,0.007830854
89772,2020/6/26,North Carolina,0.008153757
89662,2020/6/27,North Carolina,0.010330579
89552,2020/6/28,North Carolina,0.002722941
89442,2020/6/29,North Carolina,0.001981506
89332,2020/6/30,North Carolina,0.015306122
89222,2020/7/1,North Carolina,0.01541976
89112,2020/7/2,North Carolina,0.007660577
89002,2020/7/3,North Carolina,0.005673027
88892,2020/7/4,North Carolina,0.000778816
88782,2020/7/5,North Carolina,0
88672,2020/7/6,North Carolina,0.005443658
88562,2020/7/7,North Carolina,0.01752988
88452,2020/7/8,North Carolina,0.016293279
88342,2020/7/9,North Carolina,0.008933263
88232,2020/7/10,North Carolina,0.007363092
88122,2020/7/11,North Carolina,0.007525454
88012,2020/7/12,North Carolina,0.00653951
87902,2020/7/13,North Carolina,0.008232711
87792,2020/7/14,North Carolina,0.016556291
87682,2020/7/15,North Carolina,0.008859358
87572,2020/7/16,North Carolina,0.009117083
87462,2020/7/17,North Carolina,0.01062753
87352,2020/7/18,North Carolina,0.006162695
87242,2020/7/19,North Carolina,0.004509583
87132,2020/7/20,North Carolina,0.011235955
