,date,location,ratio
101776,2020/3/7,South Carolina,0
101710,2020/3/8,South Carolina,0
101640,2020/3/9,South Carolina,0
101564,2020/3/10,South Carolina,0
101484,2020/3/11,South Carolina,0
101394,2020/3/12,South Carolina,0
101300,2020/3/13,South Carolina,0
101196,2020/3/14,South Carolina,0
101092,2020/3/15,South Carolina,0
100986,2020/3/16,South Carolina,0.2
100878,2020/3/17,South Carolina,0
100770,2020/3/18,South Carolina,0
100662,2020/3/19,South Carolina,0
100554,2020/3/20,South Carolina,0.044444444
100446,2020/3/21,South Carolina,0
100338,2020/3/22,South Carolina,0
100230,2020/3/23,South Carolina,0.019047619
100122,2020/3/24,South Carolina,0.069767442
100014,2020/3/25,South Carolina,0
99906,2020/3/26,South Carolina,0.032258065
99798,2020/3/27,South Carolina,0.046511628
99690,2020/3/28,South Carolina,0.016806723
99580,2020/3/29,South Carolina,0.00877193
99470,2020/3/30,South Carolina,0.013333333
99360,2020/3/31,South Carolina,0.025316456
99250,2020/4/1,South Carolina,0.019047619
99140,2020/4/2,South Carolina,0.019157088
99030,2020/4/3,South Carolina,0.020547945
98920,2020/4/4,South Carolina,0.02764977
98810,2020/4/5,South Carolina,0.03030303
98700,2020/4/6,South Carolina,0.021857923
98590,2020/4/7,South Carolina,0.016216216
98480,2020/4/8,South Carolina,0.088888889
98370,2020/4/9,South Carolina,0.016666667
98260,2020/4/10,South Carolina,0.018315018
98150,2020/4/11,South Carolina,0.056338028
98040,2020/4/12,South Carolina,0.017857143
97930,2020/4/13,South Carolina,0.041666667
97820,2020/4/14,South Carolina,0.087719298
97710,2020/4/15,South Carolina,0.097087379
97600,2020/4/16,South Carolina,0.007272727
97490,2020/4/17,South Carolina,0.04516129
97380,2020/4/18,South Carolina,0.01875
97270,2020/4/19,South Carolina,0.007633588
97160,2020/4/20,South Carolina,0.064516129
97050,2020/4/21,South Carolina,0.065088757
96940,2020/4/22,South Carolina,0.032679739
96830,2020/4/23,South Carolina,0.064102564
