,date,location,ratio
101838,2020/3/6,Tennessee,0
101778,2020/3/7,Tennessee,0
101712,2020/3/8,Tennessee,0
101642,2020/3/9,Tennessee,0
101568,2020/3/10,Tennessee,0
101488,2020/3/11,Tennessee,0
101398,2020/3/12,Tennessee,0
101304,2020/3/13,Tennessee,0
101200,2020/3/14,Tennessee,0
101096,2020/3/15,Tennessee,0
100990,2020/3/16,Tennessee,0
100882,2020/3/17,Tennessee,0
100774,2020/3/18,Tennessee,0
100666,2020/3/19,Tennessee,0
100558,2020/3/20,Tennessee,0
100450,2020/3/21,Tennessee,0.026666667
100342,2020/3/22,Tennessee,0
100234,2020/3/23,Tennessee,0
100126,2020/3/24,Tennessee,0
100018,2020/3/25,Tennessee,0.0078125
99910,2020/3/26,Tennessee,0
99802,2020/3/27,Tennessee,0.015075377
99694,2020/3/28,Tennessee,0
99584,2020/3/29,Tennessee,0.004854369
99474,2020/3/30,Tennessee,0.039473684
99364,2020/3/31,Tennessee,0
99254,2020/4/1,Tennessee,0.015625
99144,2020/4/2,Tennessee,0.05027933
99034,2020/4/3,Tennessee,0.036585366
98924,2020/4/4,Tennessee,0.038626609
98814,2020/4/5,Tennessee,0.010989011
98704,2020/4/6,Tennessee,0.069767442
98594,2020/4/7,Tennessee,0.027237354
98484,2020/4/8,Tennessee,0.046610169
98374,2020/4/9,Tennessee,0.057142857
98264,2020/4/10,Tennessee,0.026706231
98154,2020/4/11,Tennessee,0.015789474
98044,2020/4/12,Tennessee,0
97934,2020/4/13,Tennessee,0.020648968
97824,2020/4/14,Tennessee,0.052631579
97714,2020/4/15,Tennessee,0.057142857
97604,2020/4/16,Tennessee,0.03286385
97494,2020/4/17,Tennessee,0.011560694
97384,2020/4/18,Tennessee,0.009950249
97274,2020/4/19,Tennessee,0.015
97164,2020/4/20,Tennessee,0.029411765
97054,2020/4/21,Tennessee,0.009287926
96944,2020/4/22,Tennessee,0.027472527
96834,2020/4/23,Tennessee,0.006147541
96724,2020/4/24,Tennessee,0
96614,2020/4/25,Tennessee,0.023333333
96504,2020/4/26,Tennessee,0.005802708
96394,2020/4/27,Tennessee,0.006578947
96284,2020/4/28,Tennessee,0.025531915
96174,2020/4/29,Tennessee,0.021352313
96064,2020/4/30,Tennessee,0.015936255
95954,2020/5/1,Tennessee,0.003921569
95844,2020/5/2,Tennessee,0.008403361
95734,2020/5/3,Tennessee,0.002020202
95624,2020/5/4,Tennessee,0.012135922
95514,2020/5/5,Tennessee,0.033088235
95404,2020/5/6,Tennessee,0.065934066
95294,2020/5/7,Tennessee,0.002695418
95184,2020/5/8,Tennessee,0.011904762
95074,2020/5/9,Tennessee,0.002506266
94964,2020/5/10,Tennessee,0.002597403
94854,2020/5/11,Tennessee,0.016528926
94744,2020/5/12,Tennessee,0.04519774
94634,2020/5/13,Tennessee,0.01446281
94524,2020/5/14,Tennessee,0.039755352
94414,2020/5/15,Tennessee,0.012158055
94304,2020/5/16,Tennessee,0.013937282
94194,2020/5/17,Tennessee,0.005347594
94084,2020/5/18,Tennessee,0.007978723
93974,2020/5/19,Tennessee,0.009363296
93864,2020/5/20,Tennessee,0.034334764
93754,2020/5/21,Tennessee,0.009174312
93644,2020/5/22,Tennessee,0.005076142
93534,2020/5/23,Tennessee,0.024937656
93424,2020/5/24,Tennessee,0.01994302
93314,2020/5/25,Tennessee,0.004796163
93204,2020/5/26,Tennessee,0.011709602
93094,2020/5/27,Tennessee,0.035
92984,2020/5/28,Tennessee,-0.00248139
92874,2020/5/29,Tennessee,0.009174312
92764,2020/5/30,Tennessee,0.008385744
92654,2020/5/31,Tennessee,0
92544,2020/6/1,Tennessee,0.002439024
92434,2020/6/2,Tennessee,0.013535032
92324,2020/6/3,Tennessee,0.015209125
92214,2020/6/4,Tennessee,0.042857143
92104,2020/6/5,Tennessee,0.009411765
91994,2020/6/6,Tennessee,0.014285714
91884,2020/6/7,Tennessee,0.002212389
91774,2020/6/8,Tennessee,0.007389163
91664,2020/6/9,Tennessee,0.020061728
91554,2020/6/10,Tennessee,0.011673152
91444,2020/6/11,Tennessee,0.012919897
91334,2020/6/12,Tennessee,0.044247788
91224,2020/6/13,Tennessee,0.010050251
91114,2020/6/14,Tennessee,0.003584229
91004,2020/6/15,Tennessee,0.012970169
90894,2020/6/16,Tennessee,0.014749263
90784,2020/6/17,Tennessee,0.012269939
90674,2020/6/18,Tennessee,0.022357724
90564,2020/6/19,Tennessee,0.004004004
90454,2020/6/20,Tennessee,0.012903226
90344,2020/6/21,Tennessee,0.006048387
90234,2020/6/22,Tennessee,0.01119403
90124,2020/6/23,Tennessee,0.01310616
90014,2020/6/24,Tennessee,0.016169154
89904,2020/6/25,Tennessee,0.011454754
89794,2020/6/26,Tennessee,0.009936766
89684,2020/6/27,Tennessee,0.007912957
89574,2020/6/28,Tennessee,0
89464,2020/6/29,Tennessee,0.005544006
89354,2020/6/30,Tennessee,0.00840925
89244,2020/7/1,Tennessee,0.003236246
89134,2020/7/2,Tennessee,0.005506608
89024,2020/7/3,Tennessee,0.008206331
88914,2020/7/4,Tennessee,0.002962963
88804,2020/7/5,Tennessee,0.007943513
88694,2020/7/6,Tennessee,0.006118881
88584,2020/7/7,Tennessee,0.009700176
88474,2020/7/8,Tennessee,0.009938476
88364,2020/7/9,Tennessee,0.012394366
88254,2020/7/10,Tennessee,0.007678677
88144,2020/7/11,Tennessee,0.008537279
88034,2020/7/12,Tennessee,0.002666667
87924,2020/7/13,Tennessee,0.002789956
87814,2020/7/14,Tennessee,0.010573178
87704,2020/7/15,Tennessee,0.007608179
87594,2020/7/16,Tennessee,0.005622837
87484,2020/7/17,Tennessee,0.008463252
87374,2020/7/18,Tennessee,0.009403107
87264,2020/7/19,Tennessee,0.003610108
87154,2020/7/20,Tennessee,0.002267574
87044,2020/7/21,Tennessee,0.012007685
86934,2020/7/22,Tennessee,0.006989748
86824,2020/7/23,Tennessee,0.014112903
86714,2020/7/24,Tennessee,0.006451613
86604,2020/7/25,Tennessee,0.015066964
86494,2020/7/26,Tennessee,0.000696621
86384,2020/7/27,Tennessee,0.003938558
86274,2020/7/28,Tennessee,0.009391588
86164,2020/7/29,Tennessee,0.010946907
86054,2020/7/30,Tennessee,0.006927264
85944,2020/7/31,Tennessee,0.008394896
85834,2020/8/1,Tennessee,0.003894418
85724,2020/8/2,Tennessee,0.004447739
85614,2020/8/3,Tennessee,0.01459854
85504,2020/8/4,Tennessee,0.014269406
85394,2020/8/5,Tennessee,0.016333938
85284,2020/8/6,Tennessee,0.018066847
85174,2020/8/7,Tennessee,0.008261049
85064,2020/8/8,Tennessee,0.006162465
84954,2020/8/9,Tennessee,0.003877848
84844,2020/8/10,Tennessee,0.01187447
84734,2020/8/11,Tennessee,0.034749035
84624,2020/8/12,Tennessee,0.010094213
84514,2020/8/13,Tennessee,0.013013013
84404,2020/8/14,Tennessee,0.006066734
84294,2020/8/15,Tennessee,0.014548239
84184,2020/8/16,Tennessee,0.009734992
84074,2020/8/17,Tennessee,0.018716578
83964,2020/8/18,Tennessee,0.037950664
83854,2020/8/19,Tennessee,0.013406157
83744,2020/8/20,Tennessee,0.022758621
83634,2020/8/21,Tennessee,0.034688995
83524,2020/8/22,Tennessee,0.009762901
83414,2020/8/23,Tennessee,0.003059976
83304,2020/8/24,Tennessee,0.045925926
83194,2020/8/25,Tennessee,0.032687651
83084,2020/8/26,Tennessee,0.009478673
82974,2020/8/27,Tennessee,0.015143017
82864,2020/8/28,Tennessee,0.01532802
82754,2020/8/29,Tennessee,0.01671123
82644,2020/8/30,Tennessee,0.02342918
82534,2020/8/31,Tennessee,0.002802691
82424,2020/9/1,Tennessee,0.020950846
82314,2020/9/2,Tennessee,0.009621552
82204,2020/9/3,Tennessee,0.01047836
82094,2020/9/4,Tennessee,0.02014652
81984,2020/9/5,Tennessee,0.014100395
81874,2020/9/6,Tennessee,0.001768868
81764,2020/9/7,Tennessee,0.004246285
81654,2020/9/8,Tennessee,0.043143297
81544,2020/9/9,Tennessee,0.041079812
81434,2020/9/10,Tennessee,0.029270889
81324,2020/9/11,Tennessee,0.026627219
81214,2020/9/12,Tennessee,0.031807603
81104,2020/9/13,Tennessee,0.019788918
80994,2020/9/14,Tennessee,0.008226691
80884,2020/9/15,Tennessee,0.024288107
80774,2020/9/16,Tennessee,0.014637002
80664,2020/9/17,Tennessee,0.010752688
80554,2020/9/18,Tennessee,0.0159601
80444,2020/9/19,Tennessee,0.015267176
80334,2020/9/20,Tennessee,0.001246883
80224,2020/9/21,Tennessee,0.012681159
80114,2020/9/22,Tennessee,0.032886724
80004,2020/9/23,Tennessee,0.010512484
79894,2020/9/24,Tennessee,0.033238367
79784,2020/9/25,Tennessee,0.023665049
79674,2020/9/26,Tennessee,0.014623955
79564,2020/9/27,Tennessee,0.001637555
79454,2020/9/28,Tennessee,0.012578616
79344,2020/9/29,Tennessee,0.035714286
79234,2020/9/30,Tennessee,0.024032043
79124,2020/10/1,Tennessee,0.035369775
79014,2020/10/2,Tennessee,0.014828545
78904,2020/10/3,Tennessee,0.037815126
78794,2020/10/4,Tennessee,0.011494253
78684,2020/10/5,Tennessee,0.008543358
78574,2020/10/6,Tennessee,0.014510278
78464,2020/10/7,Tennessee,0.010349926
78354,2020/10/8,Tennessee,0.030823648
78244,2020/10/9,Tennessee,0.016688062
78134,2020/10/10,Tennessee,0.015254237
78024,2020/10/11,Tennessee,0.004909984
77914,2020/10/12,Tennessee,0.00248315
77804,2020/10/13,Tennessee,0.019524618
77694,2020/10/14,Tennessee,0.019219569
77584,2020/10/15,Tennessee,0.015801354
77474,2020/10/16,Tennessee,0.014784946
77364,2020/10/17,Tennessee,0.011159825
77254,2020/10/18,Tennessee,0.003574265
77144,2020/10/19,Tennessee,0.003820439
77034,2020/10/20,Tennessee,0.018336608
76924,2020/10/21,Tennessee,0.00954033
76814,2020/10/22,Tennessee,0.018696311
76704,2020/10/23,Tennessee,0.017006803
76594,2020/10/24,Tennessee,0.009287926
76484,2020/10/25,Tennessee,0.011456135
76374,2020/10/26,Tennessee,0.011989343
76264,2020/10/27,Tennessee,0.022821577
76154,2020/10/28,Tennessee,0.012785742
76044,2020/10/29,Tennessee,0.008136697
75934,2020/10/30,Tennessee,0.029942418
75824,2020/10/31,Tennessee,0.009428033
75714,2020/11/1,Tennessee,0
75604,2020/11/2,Tennessee,0.009552923
75494,2020/11/3,Tennessee,0.040494938
75384,2020/11/4,Tennessee,0.008050089
75274,2020/11/5,Tennessee,0.013023256
75164,2020/11/6,Tennessee,0.019596542
75054,2020/11/7,Tennessee,0.011134308
74944,2020/11/8,Tennessee,0.001440922
74834,2020/11/9,Tennessee,0.002820377
74724,2020/11/10,Tennessee,0.031328954
74614,2020/11/11,Tennessee,0.024539877
74504,2020/11/12,Tennessee,0.00756859
74394,2020/11/13,Tennessee,0.017246099
74284,2020/11/14,Tennessee,0.005602869
74174,2020/11/15,Tennessee,0.003028144
74064,2020/11/16,Tennessee,0.003733831
73954,2020/11/17,Tennessee,0.037438958
