TIME,PRINT,PRMNU,SALER,SALEC,CPI,INFLA,CLI,BCI
Jan-72,57.5372,58.0576,36.5793,59.1349,9.5401,8.1633,103.5878,100.7913
Feb-72,53.0203,53.9568,36.2913,55.8033,9.5881,8.1191,103.9124,100.4831
Mar-72,58.1825,58.0576,36.7521,59.4603,9.6181,7.5839,104.2354,100.3108
Apr-72,59.473,58.9209,37.2706,66.9667,9.7081,6.3075,104.5149,100.2195
May-72,60.656,59.8921,38.2499,71.9343,9.7561,6.1358,104.6611,100.2425
Jun-72,60.9787,59.8921,38.0195,68.9372,9.8221,6.092,104.6384,100.3811
Jul-72,60.2259,59.4604,38.4227,64.3866,9.8521,5.799,104.5073,100.5293
Aug-72,60.8711,60,38.1923,64.7166,9.9301,6.5679,104.3434,100.6529
Sep-72,61.839,60.8633,38.1923,61.4308,9.9841,7.0096,104.1939,100.6934
Oct-72,62.5919,61.8345,38.2499,68.5111,10.1222,7.8645,104.0923,100.4965
Nov-72,63.1296,62.3741,38.4803,68.6989,10.1582,7.6287,104.0023,100.2486
Dec-72,63.5598,63.1295,38.7683,69.8263,10.2122,7.6534,103.8877,99.9856
Jan-73,65.4956,64.8561,38.9411,66.4947,10.2782,7.7358,103.7253,99.7887
Feb-73,64.9579,64.4245,39.5748,69.4505,10.3442,7.8849,103.5501,99.7829
Mar-73,65.7107,65.1799,40.7269,70.9994,10.4042,8.1722,103.3758,99.9632
Apr-73,65.0654,64.3165,38.5379,66.261,10.6022,9.2089,103.1949,100.3075
May-73,65.173,64.5324,39.1716,63.965,10.6802,9.4711,102.9915,100.7023
Jun-73,66.2484,65.9353,39.6324,62.6498,10.7342,9.2853,102.7393,101.022
Jul-73,66.0333,65.5036,39.5172,64.9503,10.7822,9.4397,102.3847,101.2108
Aug-73,66.0333,65.6115,39.4596,70.9032,10.8122,8.8822,101.8882,101.332
Sep-73,65.7107,65.2878,39.402,59.9781,10.9082,9.2548,101.2391,101.3272
Oct-73,66.2484,65.9353,39.5748,59.9323,11.1242,9.8992,100.4919,101.054
Nov-73,65.4956,65.7194,39.6324,59.7902,11.2082,10.3367,99.6771,100.9253
Dec-73,64.9579,65.6115,39.5748,56.3211,11.2922,10.5758,98.857,101.1781
Jan-74,60.3334,61.0791,38.5955,40.6575,11.5082,11.9673,98.1454,101.5258
Feb-74,60.3334,62.2662,38.7683,48.4893,11.7038,13.1442,97.6368,101.6992
Mar-74,62.3768,63.6691,39.402,50.5057,11.8074,13.4872,97.2785,101.5226
